,주가,거래량,OBV,기관_순매수누적,외국인_순매수누적,유로,달러,엔화,위안,소비자심리지수,자동차판매,예상종가
20161027_03,262000,179813,-2592855,-325833,2617179,1249.85,1144.5,1092.55,168.52,95.19,106.32,259500
20161028_01,256000,375998,-2216857,-297367,2591920,1250.94,1145.5,1088.41,168.65,95.07,106.49,259000
20161028_02,262500,375998,-2216857,-297367,2591920,1250.94,1145.5,1088.41,168.65,95.07,106.49,259000
20161028_03,269000,375998,-2216857,-297367,2591920,1250.94,1145.5,1088.41,168.65,95.07,106.49,259000
20161031_01,263000,494509,-1722348,-247411,2564788,1253.49,1145,1090.22,168.76,94.95,106.7,264500
20161031_02,270000,494509,-1722348,-247411,2564788,1253.49,1145,1090.22,168.76,94.95,106.7,264500
20161031_03,277000,494509,-1722348,-247411,2564788,1253.49,1145,1090.22,168.76,94.95,106.7,264500
20161101_01,269000,292111,-2014459,-222136,2538783,1257.97,1142,1088.45,168.48,94.84,106.94,274000
20161101_02,271250,292111,-2014459,-222136,2538783,1257.97,1142,1088.45,168.48,94.84,106.94,274000
20161101_03,273500,292111,-2014459,-222136,2538783,1257.97,1142,1088.45,168.48,94.84,106.94,274000
20161102_01,265500,135666,-2150125,-209249,2530645,1268.64,1144,1107.29,169.07,94.74,107.21,270000
20161102_02,268500,135666,-2150125,-209249,2530645,1268.64,1144,1107.29,169.07,94.74,107.21,270000
20161102_03,271500,135666,-2150125,-209249,2530645,1268.64,1144,1107.29,169.07,94.74,107.21,270000
20161103_01,265000,180117,-2330242,-193884,2517047,1265.32,1142.5,1107.72,168.74,94.64,107.5,269000
20161103_02,268250,180117,-2330242,-193884,2517047,1265.32,1142.5,1107.72,168.74,94.64,107.5,269000
20161103_03,271500,180117,-2330242,-193884,2517047,1265.32,1142.5,1107.72,168.74,94.64,107.5,269000
20161104_01,264000,116780,-2447022,-186865,2508862,1271.24,1145,1112.19,169.2,94.54,107.81,267000
20161104_02,266000,116780,-2447022,-186865,2508862,1271.24,1145,1112.19,169.2,94.54,107.81,267000
20161104_03,268000,116780,-2447022,-186865,2508862,1271.24,1145,1112.19,169.2,94.54,107.81,267000
20161107_01,265500,131748,-2315274,-177545,2503522,1266.24,1144,1094.79,168.59,94.45,108.13,265000
20161107_02,268000,131748,-2315274,-177545,2503522,1266.24,1144,1094.79,168.59,94.45,108.13,265000
20161107_03,270500,131748,-2315274,-177545,2503522,1266.24,1144,1094.79,168.59,94.45,108.13,265000
20161108_01,264000,100347,-2214927,-178368,2505339,1255.02,1137,1085.49,167.28,94.37,108.46,265500
20161108_02,266750,100347,-2214927,-178368,2505339,1255.02,1137,1085.49,167.28,94.37,108.46,265500
20161108_03,269500,100347,-2214927,-178368,2505339,1255.02,1137,1085.49,167.28,94.37,108.46,265500
20161109_01,259000,222903,-2437830,-178200,2509600,1275.05,1154,1114.92,169.59,94.29,108.79,268000
20161109_02,265000,222903,-2437830,-178200,2509600,1275.05,1154,1114.92,169.59,94.29,108.79,268000
20161109_03,271000,222903,-2437830,-178200,2509600,1275.05,1154,1114.92,169.59,94.29,108.79,268000
20161110_01,244500,547023,-2984853,-175308,2487044,1262.44,1159,1085.66,169.77,94.21,109.12,263500
20161110_02,254500,547023,-2984853,-175308,2487044,1262.44,1159,1085.66,169.77,94.21,109.12,263500
20161110_03,264500,547023,-2984853,-175308,2487044,1262.44,1159,1085.66,169.77,94.21,109.12,263500
20161111_01,244500,360853,-3345706,-172662,2479693,1268.7,1167,1096.39,171.27,94.13,109.44,248000
20161111_02,248000,360853,-3345706,-172662,2479693,1268.7,1167,1096.39,171.27,94.13,109.44,248000
20161111_03,251500,360853,-3345706,-172662,2479693,1268.7,1167,1096.39,171.27,94.13,109.44,248000
20161114_01,242000,219759,-3565465,-177021,2478434,1264.34,1174,1089.31,171.33,94.06,109.74,245000
20161114_02,245750,219759,-3565465,-177021,2478434,1264.34,1174,1089.31,171.33,94.06,109.74,245000
20161114_03,249500,219759,-3565465,-177021,2478434,1264.34,1174,1089.31,171.33,94.06,109.74,245000
20161115_01,237500,219492,-3784957,-178680,2479749,1257.82,1168,1079.93,170.15,94,110.03,243000
20161115_02,241000,219492,-3784957,-178680,2479749,1257.82,1168,1079.93,170.15,94,110.03,243000
20161115_03,244500,219492,-3784957,-178680,2479749,1257.82,1168,1079.93,170.15,94,110.03,243000
20161116_01,242000,209789,-3994746,-185652,2482676,1256.24,1174,1071.31,170.51,93.93,110.29,242500
20161116_02,244500,209789,-3994746,-185652,2482676,1256.24,1174,1071.31,170.51,93.93,110.29,242500
20161116_03,247000,209789,-3994746,-185652,2482676,1256.24,1174,1071.31,170.51,93.93,110.29,242500
20161117_01,239500,186740,-4181486,-191489,2483087,1260.44,1176,1076.23,170.77,93.87,110.53,242500
